"Espacio";"Asalariados";"Percepciones  por persona";"Salarios";"Salario  Medio Anual";"sexo";"edad";"nacionalidad";"erte"
"Total";18974247;1,37;408307759112;21519;"Total";"Total";"Total";"Total"
"Andalucía";3474486;1,49;60692513346;17468;"Total";"Total";"Total";"Total"
"Aragón";595062;1,34;12911532926;21698;"Total";"Total";"Total";"Total"
"Asturias, Principado de";377714;1,28;8417782746;22286;"Total";"Total";"Total";"Total"
"Balears,Illes";515198;1,3;10196485551;19791;"Total";"Total";"Total";"Total"
"Canarias";874323;1,28;15672283925;17925;"Total";"Total";"Total";"Total"
"Cantabria";229711;1,29;4799331434;20893;"Total";"Total";"Total";"Total"
"Castilla y León";966957;1,31;20043717925;20729;"Total";"Total";"Total";"Total"
"Castilla - La Mancha";879207;1,4;16898078522;19220;"Total";"Total";"Total";"Total"
"Cataluña";3508310;1,34;84787251231;24168;"Total";"Total";"Total";"Total"
"Comunitat Valenciana";2117662;1,37;41715914398;19699;"Total";"Total";"Total";"Total"
"Extremadura";436544;1,53;7170953717;16427;"Total";"Total";"Total";"Total"
"Galicia";1042813;1,29;21676120957;20786;"Total";"Total";"Total";"Total"
"Madrid, Comunidad de";3109775;1,32;87015311365;27981;"Total";"Total";"Total";"Total"
"Murcia, Región de";652623;1,44;12201334022;18696;"Total";"Total";"Total";"Total"
"Rioja, La";129517;1,35;2634517869;20341;"Total";"Total";"Total";"Total"
"Ceuta";31614;1,28;744366564;23545;"Total";"Total";"Total";"Total"
"Melilla";32731;1,33;730262615;22311;"Total";"Total";"Total";"Total"
"Total";10096989;1,4;239544602486;23724;"Varón";"Total";"Total";"Total"
"Andalucía";1885704;1,57;36397357990;19302;"Varón";"Total";"Total";"Total"
"Aragón";320386;1,37;7739215143;24156;"Varón";"Total";"Total";"Total"
"Asturias, Principado de";197511;1,3;4960999524;25118;"Varón";"Total";"Total";"Total"
"Balears,Illes";269276;1,33;5712326133;21214;"Varón";"Total";"Total";"Total"
"Canarias";455165;1,29;8585578527;18863;"Varón";"Total";"Total";"Total"
"Cantabria";120595;1,28;2804385411;23255;"Varón";"Total";"Total";"Total"
"Castilla y León";513309;1,3;11738212498;22868;"Varón";"Total";"Total";"Total"
"Castilla - La Mancha";492892;1,45;10332548257;20963;"Varón";"Total";"Total";"Total"
"Cataluña";1836747;1,35;49088693557;26726;"Varón";"Total";"Total";"Total"
"Comunitat Valenciana";1138111;1,39;24653029564;21661;"Varón";"Total";"Total";"Total"
"Extremadura";236001;1,6;4178677164;17706;"Varón";"Total";"Total";"Total"
"Galicia";542822;1,29;12386353774;22818;"Varón";"Total";"Total";"Total"
"Madrid, Comunidad de";1617650;1,34;51094229530;31585;"Varón";"Total";"Total";"Total"
"Murcia, Región de";365289;1,49;7419872810;20312;"Varón";"Total";"Total";"Total"
"Rioja, La";68155;1,37;1524611397;22370;"Varón";"Total";"Total";"Total"
"Ceuta";18299;1,3;475432707;25981;"Varón";"Total";"Total";"Total"
"Melilla";19077;1,37;453078501;23750;"Varón";"Total";"Total";"Total"
"Total";8877258;1,33;168763156626;19011;"Mujer";"Total";"Total";"Total"
"Andalucía";1588782;1,41;24295155356;15292;"Mujer";"Total";"Total";"Total"
"Aragón";274676;1,32;5172317783;18831;"Mujer";"Total";"Total";"Total"
"Asturias, Principado de";180203;1,26;3456783222;19183;"Mujer";"Total";"Total";"Total"
"Balears,Illes";245922;1,27;4484159419;18234;"Mujer";"Total";"Total";"Total"
"Canarias";419158;1,26;7086705398;16907;"Mujer";"Total";"Total";"Total"
"Cantabria";109116;1,29;1994946023;18283;"Mujer";"Total";"Total";"Total"
"Castilla y León";453648;1,32;8305505427;18308;"Mujer";"Total";"Total";"Total"
"Castilla - La Mancha";386315;1,35;6565530265;16995;"Mujer";"Total";"Total";"Total"
"Cataluña";1671563;1,32;35698557674;21356;"Mujer";"Total";"Total";"Total"
"Comunitat Valenciana";979551;1,35;17062884834;17419;"Mujer";"Total";"Total";"Total"
"Extremadura";200543;1,44;2992276553;14921;"Mujer";"Total";"Total";"Total"
"Galicia";499991;1,3;9289767182;18580;"Mujer";"Total";"Total";"Total"
"Madrid, Comunidad de";1492125;1,3;35921081835;24074;"Mujer";"Total";"Total";"Total"
"Murcia, Región de";287334;1,37;4781461212;16641;"Mujer";"Total";"Total";"Total"
"Rioja, La";61362;1,32;1109906472;18088;"Mujer";"Total";"Total";"Total"
"Ceuta";13315;1,25;268933857;20198;"Mujer";"Total";"Total";"Total"
"Melilla";13654;1,28;277184115;20301;"Mujer";"Total";"Total";"Total"
"Total";56842;1,25;112479539;1979;"Total";"Menor de 18 años";"Total";"Total"
"Andalucía";9204;1,49;19931792;2166;"Total";"Menor de 18 años";"Total";"Total"
"Aragón";2100;1,19;4980310;2372;"Total";"Menor de 18 años";"Total";"Total"
"Asturias, Principado de";639;1,12;1044586;1635;"Total";"Menor de 18 años";"Total";"Total"
"Balears,Illes";2006;1,12;4240206;2114;"Total";"Menor de 18 años";"Total";"Total"
"Canarias";1234;1,11;2711192;2197;"Total";"Menor de 18 años";"Total";"Total"
"Cantabria";479;1,1;785156;1639;"Total";"Menor de 18 años";"Total";"Total"
"Castilla y León";2107;1,16;3087604;1465;"Total";"Menor de 18 años";"Total";"Total"
"Castilla - La Mancha";3777;1,45;6575844;1741;"Total";"Menor de 18 años";"Total";"Total"
"Cataluña";15720;1,17;31695032;2016;"Total";"Menor de 18 años";"Total";"Total"
"Comunitat Valenciana";7723;1,13;12800024;1657;"Total";"Menor de 18 años";"Total";"Total"
"Extremadura";1111;1,72;1784095;1606;"Total";"Menor de 18 años";"Total";"Total"
"Galicia";1917;1,12;3626441;1892;"Total";"Menor de 18 años";"Total";"Total"
"Madrid, Comunidad de";6436;1,23;14788479;2298;"Total";"Menor de 18 años";"Total";"Total"
"Murcia, Región de";1746;1,2;3323147;1903;"Total";"Menor de 18 años";"Total";"Total"
"Rioja, La";466;1,34;746199;1601;"Total";"Menor de 18 años";"Total";"Total"
"Ceuta";60;1,17;193371;3223;"Total";"Menor de 18 años";"Total";"Total"
"Melilla";117;1,17;166060;1419;"Total";"Menor de 18 años";"Total";"Total"
"Total";1911577;1,68;14735993910;7709;"Total";"De 18 a 25 años";"Total";"Total"
"Andalucía";352223;1,81;2297636442;6523;"Total";"De 18 a 25 años";"Total";"Total"
"Aragón";59400;1,66;493545822;8309;"Total";"De 18 a 25 años";"Total";"Total"
"Asturias, Principado de";26857;1,53;198565722;7393;"Total";"De 18 a 25 años";"Total";"Total"
"Balears,Illes";57213;1,52;469356931;8204;"Total";"De 18 a 25 años";"Total";"Total"
"Canarias";75921;1,5;541558663;7133;"Total";"De 18 a 25 años";"Total";"Total"
"Cantabria";20223;1,57;143109792;7077;"Total";"De 18 a 25 años";"Total";"Total"
"Castilla y León";85484;1,62;651055207;7616;"Total";"De 18 a 25 años";"Total";"Total"
"Castilla - La Mancha";95110;1,76;737338921;7752;"Total";"De 18 a 25 años";"Total";"Total"
